|Unnamed: 0|year|earn|burn
0|0|1997|78931402|725709345
1|1|1998|356827090|2679841874
2|2|1999|391590846|3208316839
3|3|2000|453235788|3541674813
4|4|2001|523017734|3727725531
5|5|2002|603482797|4116782311
6|6|2003|678363217|4312493598
7|7|2004|724155294|5043215024
8|8|2005|801348656|5332166645
9|9|2006|936138903|7128038180
10|10|2007|995483810|6486512648
11|11|2008|1047573537|7072297435
12|12|2009|1141500535|7698972970
13|13|2010|1186981602|8175117230
14|14|2011|1228079123|8632607027
15|15|2012|1342253911|9209757900
16|16|2013|1490907774|9905420179
17|17|2014|1471764881|10463197917
18|18|2015|1562725940|10587586972
19|19|2016|1665204479|11233966408
20|20|2017|1762022678|11526838811
21|21|2018|1792500659|11086274385
22|22|2019|1953474886|11908812195
23|23|2020|1893479256|10496805326
24|24|2021|1878187463|10751788903
25|25|2022|1508272772|9117262070
